"Time [ms]","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='17'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='33'","FluxLinkage(Winding1) [Wb] - winding_num_r='5' winding_num_z='66'","FluxLinkage(Winding1) [Wb] - winding_num_r='15' winding_num_z='66'"
372,-1.37390469730027E-005,-4.90178216325014E-005,-2.65606148539732E-005,-9.58371662437192E-005,-5.39906016312759E-005,-0.000195035327870854
376,-1.25941667419005E-005,-4.50631653578079E-005,-2.44023245361026E-005,-8.80981221118905E-005,-4.95864382758909E-005,-0.000179165416321664
380,-1.15138556109054E-005,-4.14944236767815E-005,-2.24724318666606E-005,-8.11199628842419E-005,-4.56062332073155E-005,-0.000164989325669541
384,-1.06196097124939E-005,-3.83407726447853E-005,-2.07182279118724E-005,-7.4816280693947E-005,-4.19008870511445E-005,-0.000152221311594452
388,-9.81728632986481E-006,-3.54567534034382E-005,-1.91180710692812E-005,-6.90634171209445E-005,-3.87029612357704E-005,-0.000140537724945326
392,-9.08881567740369E-006,-3.28328339324662E-005,-1.7698186435872E-005,-6.40641187837315E-005,-3.59372970538696E-005,-0.000130569483181053
396,-8.50304999451136E-006,-3.04376360812614E-005,-1.64021966230983E-005,-5.93902317536163E-005,-3.31685441087584E-005,-0.000120735115754802
400,-7.88642549393134E-006,-2.82705703617859E-005,-1.52079920597694E-005,-5.51062528061375E-005,-3.07823183776806E-005,-0.000112066037527944
404,-7.25921743811487E-006,-2.62427347021378E-005,-1.41287520821781E-005,-5.10795668461689E-005,-2.87761081739955E-005,-0.000103492149216541
408,-6.74811624225909E-006,-2.43652863201947E-005,-1.31345480475544E-005,-4.74792321742115E-005,-2.65788648232561E-005,-9.59798526201181E-005
412,-6.28490790324459E-006,-2.26967527925857E-005,-1.23057663020823E-005,-4.4227464776631E-005,-2.48086291973824E-005,-8.93345688547882E-005
416,-5.9115983189463E-006,-2.11698600466002E-005,-1.14267051466569E-005,-4.12139404361423E-005,-2.31159524012491E-005,-8.44531236699165E-005
420,-5.47811067556973E-006,-1.97858343085523E-005,-1.06639897663387E-005,-3.85893521730442E-005,-2.14995525736677E-005,-7.78355100932925E-005
424,-5.16944090297009E-006,-1.84692460304703E-005,-9.94226883263475E-006,-3.60610888324659E-005,-2.01212014963796E-005,-7.31012303852366E-005
428,-4.79082508471093E-006,-1.72802436777433E-005,-9.31681097943007E-006,-3.37376033910982E-005,-1.88445217795938E-005,-6.83926724276906E-005
432,-4.74193173801019E-006,-1.70939531403198E-005,-9.22026042332275E-006,-3.33423480251417E-005,-1.86496705691905E-005,-6.75102390623817E-005
436,-4.74147007628302E-006,-1.70893471247766E-005,-9.21887209546584E-006,-3.33269544815586E-005,-1.86457031406279E-005,-6.74603263620567E-005
440,-4.74146572167793E-006,-1.70892332370364E-005,-9.21885213792942E-006,-3.33263549526631E-005,-1.86456224125183E-005,-6.74575035725815E-005
444,-4.74146568060716E-006,-1.70892304210603E-005,-9.21885185103988E-006,-3.33263316029366E-005,-1.86456207699258E-005,-6.74573439313846E-005
448,-4.74146568021985E-006,-1.70892303514328E-005,-9.2188518469158E-006,-3.33263306935397E-005,-1.86456207365033E-005,-6.74573349029707E-005
452,-4.74146568021618E-006,-1.70892303497113E-005,-9.21885184685653E-006,-3.33263306581217E-005,-1.86456207358235E-005,-6.74573343923737E-005
456,-4.74146568021619E-006,-1.70892303496688E-005,-9.21885184685576E-006,-3.3326330656742E-005,-1.86456207358096E-005,-6.7457334363497E-005
460,-4.74146568021622E-006,-1.70892303496677E-005,-9.21885184685573E-006,-3.33263306566883E-005,-1.86456207358093E-005,-6.74573343618641E-005
